datetime,layering,sensitivity,why
2023-02-14,0,no,
2023-02-21,0,no,
2023-03-01,0,no,
2023-03-08,0,no,
2023-03-13,0,no,
2023-03-16,0,no,
2023-03-17,0,no,
2023-03-22,0,no,
2023-04-05,0,no,
2023-04-10,"147, 0",no,
2023-04-12,"19, 0",no,
2023-04-19,"13, 0",no,
2023-04-24,"168, 157, 148, 125, 72, 11, 0",no,
2023-04-26,"163, 134, 11, 0",yes,"sub-surface melt, water at the bottom"
2023-04-29,"156, 150, 119, 106, 98, 84, 62, 54, 0",yes,buried saturated layers (ponding above ice lenses)
2023-05-01,"142, 127, 112, 102, 94, 88, 82, 14, 0",no,
2023-05-03,"153, 115, 107, 90, 84, 13, 0",yes,buried saturated layer under 40 cm at 4%
2023-05-05,"162, 117, 78, 0",no,
2023-05-08,"148, 127, 107, 98, 87, 73, 32, 11, 0",yes,rain on snow?
2023-05-09,"141, 124, 104, 94, 87, 0",no,
2023-05-11,"132, 120, 100, 92, 84, 68, 10, 0",yes,large spring snowfall over wet snowpack
2023-05-12,"139, 127, 119, 111, 101, 88, 8, 0",yes,many wet layers stacked
2023-05-15,"149, 126, 105, 52, 0",no,
2023-05-17,"166, 152, 121, 70, 10, 0",no,
2023-05-19,"160, 145, 123, 105, 87, 71, 13, 0",no,
2023-05-22,"152, 125, 107, 97, 8, 0",no,
2023-05-24,"143, 127, 121, 109, 97, 87, 81, 61, 0",no,
2023-05-26,"136, 106, 96, 86, 76, 6, 0",no,
2023-05-29,"122, 109, 101, 95, 85, 75, 10, 0",no,
2023-05-31,"113, 103, 97, 87, 79, 0",no,
2023-06-02,"103, 91, 82, 76, 0",no,
2023-06-05,"85, 79, 69, 0",no,
2023-06-07,"81, 69, 53, 47, 0",no,
2023-06-09,"82, 0",yes,"saturated surface above ice lens, the bottom is draining"
2023-06-12,"60, 54, 0",no,
2023-06-14,"44, 0",no,
2023-06-16,"27, 0",yes,"saturated surface at 10% with high roughness, the model diverges"
2023-12-05,0,no,
2023-12-19,0,no,
2023-12-28,0,no,
2024-01-04,0,no,
2024-01-11,0,no,
2024-01-18,0,no,
2024-02-01,0,no,
2024-02-08,0,no,
2024-02-15,0,no,
2024-02-21,0,no,
2024-02-29,0,no,
2024-03-04,0,no,
2024-03-07,0,no,
2024-03-14,0,no,
2024-03-20,0,no,
2024-04-04,"31, 22, 16, 10, 0",no,
2024-04-08,"282, 262, 234, 112, 98, 34, 0",yes,superficial melt
2024-04-11,"274, 245, 222, 210, 171, 120, 108, 34, 12, 0",yes,1 buried wet layer in relatively dry snowpack conditions
2024-04-15,"240, 201, 195, 172, 158, 142, 132, 82, 0",yes,1 buried wet layer under 2% surface
2024-04-16,"239, 230, 222, 208, 198, 132, 86, 12, 0",no,
2024-04-18,"232, 223, 211, 199, 194, 181, 170, 163, 64, 0",no,
2024-04-23,"218, 207, 197, 171, 162, 68, 18, 0",no,
2024-04-27,"212, 202, 194, 163, 122, 85, 0",no,
2024-05-02,"258, 250, 230, 218, 208, 198, 187, 164, 150, 138, 131, 87, 0",no,
2024-05-09,"222, 192, 186, 162, 154, 134, 124, 114, 0",yes,2 buried wet layers
2024-05-10,"254, 228, 199, 190, 169, 116, 108, 86, 80, 59, 42, 22, 0",no,
2024-05-14,"222, 214, 198, 188, 169, 152, 146, 138, 128, 58, 12, 0",no,
2024-05-21,"230, 195, 185, 157, 149, 117, 111, 33, 27, 10, 0",yes,2 buried wet layers
2024-05-22,"236, 220, 202, 191, 170, 154, 127, 39, 11, 0",yes,saturated bottom
2024-05-29,"210, 169, 155, 138, 0",yes,2 buried wet layers
2024-06-03,"228, 212, 0",no,
2024-06-07,"202, 190, 161, 114, 72, 53, 8, 0",yes,saturated surface
2024-06-10,"187, 179, 165, 131, 115, 104, 74, 0",yes,saturated surface
2024-06-14,"170, 150, 119, 76, 49, 0",no,
2024-06-19,"146, 0",no,
2024-06-22,"110, 104, 96, 69, 25, 7, 0",no,
2024-06-26,"108, 96, 32, 26, 0",no,
2024-06-27,"98, 76, 68, 7, 0",yes,frozen surface
2024-07-01,0,no,
2024-07-04,"6, 0",yes,saturated bottom
