datetime,sigma0_39_168_2023,lia_39_168_2023,sigma0_39_66_2023,lia_39_66_2023,sigma0_39_15_2023,lia_39_15_2023,sigma0_39_117_2023,lia_39_117_2023,afternoon_ascending_sigma0,morning_descending_sigma0,afternoon_ascending_lia,morning_descending_lia
2023-10-02 17:30:00,,,,,,,-6.605053546238474,31.71424865722656,-6.605053546238474,,32.0,
2023-10-06 05:30:00,-10.375703512116612,42.0420036315918,,,,,,,,-10.375703512116612,,42.0
2023-10-07 17:30:00,,,,,-9.830897046335496,40.74257278442383,,,-9.830897046335496,,41.0,
2023-10-11 05:30:00,,,-9.697531144499315,32.84053421020508,,,,,,-9.697531144499315,,33.0
2023-10-14 17:30:00,,,,,,,-5.399568061003301,31.70256805419922,-5.399568061003301,,32.0,
2023-10-18 05:30:00,-10.360391477283756,42.03704452514648,,,,,,,,-10.360391477283756,,42.0
2023-10-19 17:30:00,,,,,-10.131402738916211,40.741024017333984,,,-10.131402738916211,,41.0,
2023-10-23 05:30:00,,,-8.995217969726907,32.828460693359375,,,,,,-8.995217969726907,,33.0
2023-10-30 05:30:00,-9.48179553889011,42.0356674194336,,,,,,,,-9.48179553889011,,42.0
2023-10-31 17:30:00,,,,,-10.134623247531437,40.73056411743164,,,-10.134623247531437,,41.0,
2023-11-04 05:30:00,,,-10.290277750780865,32.828338623046875,,,,,,-10.290277750780865,,33.0
2023-11-07 17:30:00,,,,,,,-5.815683619886047,31.703147888183597,-5.815683619886047,,32.0,
2023-11-11 05:30:00,-10.339475715025763,42.04001235961914,,,,,,,,-10.339475715025763,,42.0
2023-11-12 17:30:00,,,,,-11.372860762068283,40.73225402832031,,,-11.372860762068283,,41.0,
2023-11-16 05:30:00,,,-10.39269693537786,32.82289123535156,,,,,,-10.39269693537786,,33.0
2023-11-19 17:30:00,,,,,,,-11.495786379395094,31.72015380859375,-11.495786379395094,,32.0,
2023-11-23 05:30:00,-10.064235546682312,42.04383087158203,,,,,,,,-10.064235546682312,,42.0
2023-11-24 17:30:00,,,,,-9.975271372902794,40.728759765625,,,-9.975271372902794,,41.0,
2023-11-28 05:30:00,,,-8.290689269982888,32.829322814941406,,,,,,-8.290689269982888,,33.0
2023-12-01 17:30:00,,,,,,,-8.225490988642512,31.712623596191406,-8.225490988642512,,32.0,
2023-12-05 05:30:00,-10.55936753975489,42.03914642333984,,,,,,,,-10.55936753975489,,42.0
2023-12-06 17:30:00,,,,,-11.23391484459181,40.73723602294922,,,-11.23391484459181,,41.0,
2023-12-10 05:30:00,,,-10.616464049648108,32.82421112060547,,,,,,-10.616464049648108,,33.0
